CustServ.custcare_Mean,CustServ.ccrndmou_Mean,CustServ.cc_mou_Mean
0,0,0
1.666666667,6.333333333,5.463333333
0,0,0
0,0,0
8.666666667,15,11.07666667
4.333333333,11,7.753333333
0,0,0
0.666666667,5.333333333,5.276666667
11.33333333,13.66666667,6.25
0,0,0
4,98.66666667,96.92
0,0,0
0,0,0
0,0,0
0.333333333,3.333333333,3.316666667
1,1.666666667,1.026666667
3.666666667,10.66666667,8.27
0,0,0
4.333333333,9.666666667,7.5
0.333333333,0.333333333,0.276666667
0.333333333,1,0.94
0.333333333,0.666666667,0.593333333
0,0,0
0,0,0
1,1.666666667,1.2
0,0,0
0.666666667,0.666666667,0.033333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.666666667,3,2.143333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.323333333
0,0,0
0,0,0
0,0,0
5,15.33333333,12.12333333
0,0,0
1,19,18.44333333
0.333333333,4,4
0,0,0
0.666666667,11,10.55
0,0,0
0,0,0
3.333333333,6.333333333,4.66
0,0,0
0,0,0
2,4.333333333,3.336666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,1,0.756666667
0,0,0
0,0,0
0,0,0
0,0,0
9.666666667,23,18.77333333
0,0,0
0.333333333,3.333333333,3.176666667
2.666666667,7,5.513333333
0,0,0
1,1,0.423333333
0,0,0
0.333333333,2.333333333,2.106666667
9.666666667,14,9.873333333
0.666666667,10,9.913333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,3.666666667,3.466666667
3.666666667,3.666666667,2.626666667
0,0,0
0,0,0
0,0,0
0.666666667,1.333333333,1.133333333
0.333333333,0.333333333,0.293333333
0,0,0
0,0,0
3.333333333,27,24.70333333
1.666666667,6.666666667,5.4
0,0,0
6.666666667,6.666666667,4.303333333
0.333333333,0.333333333,0.293333333
0.666666667,1.666666667,1.046666667
0,0,0
3,4,2.35
0,0,0
0.333333333,8.333333333,8.273333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.333333333,16.66666667,16.25333333
0.333333333,1.333333333,1.073333333
0,0,0
9.333333333,9.666666667,4.636666667
0,0,0
1.333333333,3.333333333,2.233333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.193333333
0,0,0
0,0,0
0,0,0
0.333333333,2.666666667,2.49
0,0,0
0,0,0
0,0,0
0,0,0
0.666666667,12.33333333,11.96
0.666666667,5,4.646666667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,1,0.773333333
0,0,0
0,0,0
6.333333333,15,11.79
0,0,0
0,0,0
0,0,0
0,0,0
4.666666667,13.66666667,10.20666667
0.666666667,6,5.933333333
0.666666667,1.333333333,0.8
0,0,0
0,0,0
11.33333333,13,8.456666667
0,0,0
2,8,6.616666667
0.666666667,1.333333333,0.846666667
0,0,0
1,2.333333333,1.583333333
4,12.66666667,10.37333333
0,0,0
1.333333333,2.666666667,2.25
0,0,0
1,61,60.85
2.666666667,21,19.95
0,0,0
0.333333333,2.666666667,2.556666667
0,0,0
0,0,0
0,0,0
8.333333333,15,9.476666667
0.333333333,0.666666667,0.5
0,0,0
0,0,0
0.333333333,0.333333333,0.056666667
3,3,1.79
0,0,0
0,0,0
4.333333333,8.666666667,4.95
0,0,0
0.333333333,2,1.76
0,0,0
2,13,12.15666667
0,0,0
0,0,0
0,0,0
0,0,0
1,3.333333333,2.73
0,0,0
0,0,0
0.666666667,1,0.826666667
0,0,0
1,3.666666667,3.236666667
7.333333333,19.66666667,14.38666667
0.333333333,0.333333333,0.116666667
0,0,0
1.333333333,5.666666667,5.15
0.333333333,2.333333333,2.21
0.333333333,3.666666667,3.49
0,0,0
3.333333333,8.333333333,6.806666667
0,0,0
0.666666667,3.666666667,3.383333333
0,0,0
0.666666667,0.666666667,0.183333333
0,0,0
0,0,0
1.333333333,2,1.423333333
0,0,0
1.666666667,5.333333333,4.52
0,0,0
0,0,0
0,0,0
1.666666667,9,8.106666667
0,0,0
0,0,0
4,17.33333333,14.35333333
0.333333333,1,0.69
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,0.333333333,0.116666667
0,0,0
2.333333333,3.666666667,1.903333333
0,0,0
0,0,0
0,0,0
0,0,0
0.333333333,1.333333333,1.1
0,0,0
0.333333333,0.666666667,0.533333333
1.333333333,4.666666667,4.246666667
1.333333333,1.333333333,0.12
0,0,0
2,7.333333333,6.523333333
0,0,0
0,0,0
2,10.33333333,9.63
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
