Customer_info$Customer.Customer_ID,CustServ.custcare_Mean,CustServ.ccrndmou_Mean,CustServ.cc_mou_Mean
1000001,0,0,0
1000002,1.666666667,6.333333333,5.463333333
1000003,0,0,0
1000004,0,0,0
1000005,8.666666667,15,11.07666667
1000006,4.333333333,11,7.753333333
1000007,0,0,0
1000008,0.666666667,5.333333333,5.276666667
1000009,11.33333333,13.66666667,6.25
1000010,0,0,0
1000011,4,98.66666667,96.92
1000012,0,0,0
1000013,0,0,0
1000014,0,0,0
1000015,0.333333333,3.333333333,3.316666667
1000016,1,1.666666667,1.026666667
1000017,3.666666667,10.66666667,8.27
1000018,0,0,0
1000019,4.333333333,9.666666667,7.5
1000020,0.333333333,0.333333333,0.276666667
1000021,0.333333333,1,0.94
1000022,0.333333333,0.666666667,0.593333333
1000023,0,0,0
1000024,0,0,0
1000025,1,1.666666667,1.2
1000026,0,0,0
1000027,0.666666667,0.666666667,0.033333333
1000028,0,0,0
1000029,0,0,0
1000030,0,0,0
1000031,0,0,0
1000032,0,0,0
1000033,0,0,0
1000034,0,0,0
1000035,0,0,0
1000036,2.666666667,3,2.143333333
1000037,0,0,0
1000038,0,0,0
1000039,0,0,0
1000040,0,0,0
1000041,0,0,0
1000042,0.333333333,0.333333333,0.323333333
1000043,0,0,0
1000044,0,0,0
1000045,0,0,0
1000046,5,15.33333333,12.12333333
1000047,0,0,0
1000048,1,19,18.44333333
1000049,0.333333333,4,4
1000050,0,0,0
1000051,0.666666667,11,10.55
1000052,0,0,0
1000053,0,0,0
1000054,3.333333333,6.333333333,4.66
1000055,0,0,0
1000056,0,0,0
1000057,2,4.333333333,3.336666667
1000058,0,0,0
1000059,0,0,0
1000060,0,0,0
1000061,0,0,0
1000062,0,0,0
1000063,0.333333333,1,0.756666667
1000064,0,0,0
1000065,0,0,0
1000066,0,0,0
1000067,0,0,0
1000068,9.666666667,23,18.77333333
1000069,0,0,0
1000070,0.333333333,3.333333333,3.176666667
1000071,2.666666667,7,5.513333333
1000072,0,0,0
1000073,1,1,0.423333333
1000074,0,0,0
1000075,0.333333333,2.333333333,2.106666667
1000076,9.666666667,14,9.873333333
1000077,0.666666667,10,9.913333333
1000078,0,0,0
1000079,0,0,0
1000080,0,0,0
1000081,0,0,0
1000082,0,0,0
1000083,0.666666667,3.666666667,3.466666667
1000084,3.666666667,3.666666667,2.626666667
1000085,0,0,0
1000086,0,0,0
1000087,0,0,0
1000088,0.666666667,1.333333333,1.133333333
1000089,0.333333333,0.333333333,0.293333333
1000090,0,0,0
1000091,0,0,0
1000092,3.333333333,27,24.70333333
1000093,1.666666667,6.666666667,5.4
1000094,0,0,0
1000095,6.666666667,6.666666667,4.303333333
1000096,0.333333333,0.333333333,0.293333333
1000097,0.666666667,1.666666667,1.046666667
1000098,0,0,0
1000099,3,4,2.35
1000100,0,0,0
1000101,0.333333333,8.333333333,8.273333333
1000102,0,0,0
1000103,0,0,0
1000104,0,0,0
1000105,0,0,0
1000106,0,0,0
1000107,1.333333333,16.66666667,16.25333333
1000108,0.333333333,1.333333333,1.073333333
1000109,0,0,0
1000110,9.333333333,9.666666667,4.636666667
1000111,0,0,0
1000112,1.333333333,3.333333333,2.233333333
1000113,0,0,0
1000114,0,0,0
1000115,0,0,0
1000116,0,0,0
1000117,0,0,0
1000118,0,0,0
1000119,0.333333333,0.333333333,0.193333333
1000120,0,0,0
1000121,0,0,0
1000122,0,0,0
1000123,0.333333333,2.666666667,2.49
1000124,0,0,0
1000125,0,0,0
1000126,0,0,0
1000127,0,0,0
1000128,0.666666667,12.33333333,11.96
1000129,0.666666667,5,4.646666667
1000130,0,0,0
1000131,0,0,0
1000132,0,0,0
1000133,0,0,0
1000134,0,0,0
1000135,0.333333333,1,0.773333333
1000136,0,0,0
1000137,0,0,0
1000138,6.333333333,15,11.79
1000139,0,0,0
1000140,0,0,0
1000141,0,0,0
1000142,0,0,0
1000143,4.666666667,13.66666667,10.20666667
1000144,0.666666667,6,5.933333333
1000145,0.666666667,1.333333333,0.8
1000146,0,0,0
1000147,0,0,0
1000148,11.33333333,13,8.456666667
1000149,0,0,0
1000150,2,8,6.616666667
1000151,0.666666667,1.333333333,0.846666667
1000152,0,0,0
1000153,1,2.333333333,1.583333333
1000154,4,12.66666667,10.37333333
1000155,0,0,0
1000156,1.333333333,2.666666667,2.25
1000157,0,0,0
1000158,0,0,0
1000159,1,61,60.85
1000160,2.666666667,21,19.95
1000161,0,0,0
1000162,0.333333333,2.666666667,2.556666667
1000163,0,0,0
1000164,0,0,0
1000165,0,0,0
1000166,8.333333333,15,9.476666667
1000167,0.333333333,0.666666667,0.5
1000168,0,0,0
1000169,0,0,0
1000170,0.333333333,0.333333333,0.056666667
1000171,3,3,1.79
1000172,0,0,0
1000173,0,0,0
1000174,4.333333333,8.666666667,4.95
1000175,0,0,0
1000176,0.333333333,2,1.76
1000177,0,0,0
1000178,2,13,12.15666667
1000179,0,0,0
1000180,0,0,0
1000181,0,0,0
1000182,0,0,0
1000183,1,3.333333333,2.73
1000184,0,0,0
1000185,0,0,0
1000186,0.666666667,1,0.826666667
1000187,0,0,0
1000188,1,3.666666667,3.236666667
1000189,7.333333333,19.66666667,14.38666667
1000190,0.333333333,0.333333333,0.116666667
1000191,0,0,0
