Customer_info$Customer.Customer_ID,Product.new_cell,Product.dualband,Product.refurb_new,Product.hnd_price,Product.hnd_webcap,Product.eqpdays
1000001,U,Y,N,149.9899902,WCMB,361
1000002,N,N,N,NA,WC,240
1000003,Y,N,N,29.98999023,NA,1504
1000004,Y,N,N,29.98999023,NA,1812
1000005,Y,Y,N,149.9899902,WCMB,434
1000006,Y,N,N,129.9899902,WCMB,458
1000007,N,Y,N,29.98999023,NA,852
1000008,Y,Y,N,79.98999023,WCMB,231
1000009,Y,Y,N,29.98999023,NA,700
1000010,N,Y,N,79.98999023,WCMB,601
1000011,Y,Y,N,79.98999023,WCMB,464
1000012,Y,N,N,79.98999023,WC,544
1000013,Y,Y,N,199.9899902,WCMB,388
1000014,Y,Y,N,59.98999023,WCMB,354
1000015,Y,Y,N,149.9899902,WCMB,199
1000016,N,Y,N,79.98999023,WCMB,697
1000017,N,N,N,29.98999023,WCMB,530
1000018,N,N,N,79.98999023,WC,48
1000019,N,Y,N,29.98999023,WC,408
1000020,Y,Y,N,129.9899902,WCMB,253
1000021,U,Y,N,149.9899902,WCMB,143
1000022,U,N,N,129.9899902,WCMB,162
1000023,N,Y,N,149.9899902,WCMB,350
1000024,Y,Y,N,79.98999023,WCMB,652
1000025,Y,Y,N,59.98999023,WCMB,752
1000026,Y,Y,N,59.98999023,WCMB,573
1000027,Y,N,N,29.98999023,WC,265
1000028,Y,Y,N,149.9899902,WCMB,452
1000029,N,Y,R,99.98999023,WCMB,183
1000030,Y,Y,N,59.98999023,WCMB,319
1000031,N,Y,N,129.9899902,WCMB,776
1000032,Y,N,R,9.989997864,NA,1395
1000033,N,Y,N,149.9899902,WCMB,628
1000034,Y,T,N,99.98999023,WCMB,138
1000035,N,Y,N,29.98999023,WC,917
1000036,N,Y,N,199.9899902,WCMB,258
1000037,Y,Y,N,149.9899902,WCMB,630
1000038,Y,N,N,29.98999023,NA,1570
1000039,N,Y,N,79.98999023,WCMB,786
1000040,Y,Y,R,29.98999023,WCMB,179
1000041,U,Y,N,199.9899902,WCMB,107
1000042,N,Y,N,79.98999023,WCMB,616
1000043,Y,Y,N,29.98999023,WC,1155
1000044,Y,N,N,29.98999023,NA,1661
1000045,N,N,R,9.989997864,NA,1072
1000046,N,N,N,79.98999023,WC,864
1000047,Y,N,N,29.98999023,NA,1549
1000048,N,N,R,9.989997864,WCMB,151
1000049,Y,Y,N,149.9899902,WCMB,162
1000050,N,Y,R,99.98999023,WCMB,192
1000051,N,Y,N,29.98999023,WC,985
1000052,Y,N,N,29.98999023,WC,404
1000053,Y,Y,R,9.989997864,WC,389
1000054,Y,N,N,NA,WC,20
1000055,Y,N,N,29.98999023,NA,1646
1000056,N,N,N,29.98999023,NA,977
1000057,Y,N,R,9.989997864,NA,528
1000058,Y,N,N,29.98999023,NA,1536
1000059,N,Y,N,29.98999023,NA,1023
1000060,U,N,N,29.98999023,NA,1597
1000061,N,Y,N,29.98999023,WC,1150
1000062,N,N,R,9.989997864,NA,901
1000063,Y,Y,N,129.9899902,WCMB,122
1000064,N,Y,N,199.9899902,WCMB,72
1000065,N,Y,N,129.9899902,WCMB,37
1000066,Y,Y,N,29.98999023,NA,530
1000067,N,Y,N,59.98999023,WCMB,860
1000068,Y,N,N,299.9899902,WCMB,307
1000069,Y,N,N,29.98999023,NA,1698
1000070,N,Y,N,29.98999023,NA,873
1000071,N,N,N,79.98999023,WC,86
1000072,N,Y,R,99.98999023,WCMB,226
1000073,U,N,N,29.98999023,NA,1695
1000074,N,N,R,9.989997864,WC,492
1000075,Y,Y,N,149.9899902,WCMB,100
1000076,Y,N,R,9.989997864,NA,659
1000077,Y,N,N,29.98999023,WCMB,309
1000078,N,N,N,29.98999023,NA,839
1000079,Y,Y,N,29.98999023,NA,716
1000080,N,Y,N,149.9899902,WCMB,374
1000081,U,Y,R,29.98999023,WCMB,163
1000082,N,N,R,9.989997864,NA,376
1000083,Y,Y,N,29.98999023,WC,47
1000084,U,Y,N,149.9899902,WCMB,233
1000085,N,T,N,199.9899902,WCMB,10
1000086,Y,N,N,399.9899902,WCMB,175
1000087,U,T,N,199.9899902,WCMB,49
1000088,N,Y,N,199.9899902,WCMB,4
1000089,Y,Y,R,29.98999023,WCMB,350
1000090,N,Y,N,149.9899902,WCMB,129
1000091,N,N,R,39.98999023,WC,331
1000092,U,N,R,9.989997864,NA,675
1000093,N,N,R,79.98999023,WCMB,146
1000094,N,Y,N,199.9899902,WCMB,158
1000095,N,Y,N,149.9899902,WCMB,451
1000096,Y,N,N,29.98999023,NA,1583
1000097,Y,Y,N,129.9899902,WCMB,527
1000098,N,Y,N,59.98999023,WCMB,807
1000099,N,Y,N,79.98999023,WCMB,652
1000100,Y,Y,N,149.9899902,WCMB,161
1000101,N,Y,N,199.9899902,WCMB,460
1000102,N,Y,R,79.98999023,WCMB,306
1000103,Y,N,N,29.98999023,NA,1475
1000104,N,Y,N,199.9899902,WCMB,163
1000105,Y,Y,N,199.9899902,WCMB,11
1000106,N,N,N,29.98999023,WC,1116
1000107,N,N,N,29.98999023,NA,1599
1000108,N,N,N,79.98999023,WC,693
1000109,N,Y,N,199.9899902,WCMB,240
1000110,N,N,N,79.98999023,WC,314
1000111,Y,Y,R,39.98999023,WCMB,452
1000112,Y,N,N,29.98999023,WC,765
1000113,N,N,N,29.98999023,NA,1515
1000114,N,Y,R,99.98999023,WCMB,263
1000115,N,Y,R,79.98999023,WCMB,387
1000116,N,Y,N,29.98999023,NA,701
1000117,Y,Y,N,149.9899902,WCMB,135
1000118,Y,Y,N,199.9899902,WCMB,133
1000119,Y,Y,R,9.989997864,NA,773
1000120,Y,Y,N,149.9899902,WCMB,206
1000121,Y,N,N,29.98999023,NA,1619
1000122,N,Y,N,199.9899902,WCMB,168
1000123,Y,Y,N,149.9899902,WCMB,336
1000124,Y,Y,N,199.9899902,WCMB,318
1000125,N,Y,R,9.989997864,WC,586
1000126,N,Y,N,199.9899902,WCMB,430
1000127,N,N,N,29.98999023,WCMB,581
