Product.new_cell,Product.dualband,Product.refurb_new,Product.hnd_price,Product.hnd_webcap,Product.eqpdays
U,Y,0,149.9899902,WCMB,361
N,N,0,99.98999023,WC,240
Y,N,0,29.98999023,UNKW,1504
Y,N,0,29.98999023,UNKW,1812
Y,Y,0,149.9899902,WCMB,434
Y,N,0,129.9899902,WCMB,458
N,Y,0,29.98999023,UNKW,852
Y,Y,0,79.98999023,WCMB,231
Y,Y,0,29.98999023,UNKW,700
N,Y,0,79.98999023,WCMB,601
Y,Y,0,79.98999023,WCMB,464
Y,N,0,79.98999023,WC,544
Y,Y,0,199.9899902,WCMB,388
Y,Y,0,59.98999023,WCMB,354
Y,Y,0,149.9899902,WCMB,199
N,Y,0,79.98999023,WCMB,697
N,N,0,29.98999023,WCMB,530
N,N,0,79.98999023,WC,48
N,Y,0,29.98999023,WC,408
Y,Y,0,129.9899902,WCMB,253
U,Y,0,149.9899902,WCMB,143
U,N,0,129.9899902,WCMB,162
N,Y,0,149.9899902,WCMB,350
Y,Y,0,79.98999023,WCMB,652
Y,Y,0,59.98999023,WCMB,752
Y,Y,0,59.98999023,WCMB,573
Y,N,0,29.98999023,WC,265
Y,Y,0,149.9899902,WCMB,452
N,Y,1,99.98999023,WCMB,183
Y,Y,0,59.98999023,WCMB,319
N,Y,0,129.9899902,WCMB,776
Y,N,1,9.989997864,UNKW,1395
N,Y,0,149.9899902,WCMB,628
Y,T,0,99.98999023,WCMB,138
N,Y,0,29.98999023,WC,917
N,Y,0,199.9899902,WCMB,258
Y,Y,0,149.9899902,WCMB,630
Y,N,0,29.98999023,UNKW,1570
N,Y,0,79.98999023,WCMB,786
Y,Y,1,29.98999023,WCMB,179
U,Y,0,199.9899902,WCMB,107
N,Y,0,79.98999023,WCMB,616
Y,Y,0,29.98999023,WC,1155
Y,N,0,29.98999023,UNKW,1661
N,N,1,9.989997864,UNKW,1072
N,N,0,79.98999023,WC,864
Y,N,0,29.98999023,UNKW,1549
N,N,1,9.989997864,WCMB,151
Y,Y,0,149.9899902,WCMB,162
N,Y,1,99.98999023,WCMB,192
N,Y,0,29.98999023,WC,985
Y,N,0,29.98999023,WC,404
Y,Y,1,9.989997864,WC,389
Y,N,0,99.98999023,WC,20
Y,N,0,29.98999023,UNKW,1646
N,N,0,29.98999023,UNKW,977
Y,N,1,9.989997864,UNKW,528
Y,N,0,29.98999023,UNKW,1536
N,Y,0,29.98999023,UNKW,1023
U,N,0,29.98999023,UNKW,1597
N,Y,0,29.98999023,WC,1150
N,N,1,9.989997864,UNKW,901
Y,Y,0,129.9899902,WCMB,122
N,Y,0,199.9899902,WCMB,72
N,Y,0,129.9899902,WCMB,37
Y,Y,0,29.98999023,UNKW,530
N,Y,0,59.98999023,WCMB,860
Y,N,0,299.9899902,WCMB,307
Y,N,0,29.98999023,UNKW,1698
N,Y,0,29.98999023,UNKW,873
N,N,0,79.98999023,WC,86
N,Y,1,99.98999023,WCMB,226
U,N,0,29.98999023,UNKW,1695
N,N,1,9.989997864,WC,492
Y,Y,0,149.9899902,WCMB,100
Y,N,1,9.989997864,UNKW,659
Y,N,0,29.98999023,WCMB,309
N,N,0,29.98999023,UNKW,839
Y,Y,0,29.98999023,UNKW,716
N,Y,0,149.9899902,WCMB,374
U,Y,1,29.98999023,WCMB,163
N,N,1,9.989997864,UNKW,376
Y,Y,0,29.98999023,WC,47
U,Y,0,149.9899902,WCMB,233
N,T,0,199.9899902,WCMB,10
Y,N,0,399.9899902,WCMB,175
U,T,0,199.9899902,WCMB,49
N,Y,0,199.9899902,WCMB,4
Y,Y,1,29.98999023,WCMB,350
N,Y,0,149.9899902,WCMB,129
N,N,1,39.98999023,WC,331
U,N,1,9.989997864,UNKW,675
N,N,1,79.98999023,WCMB,146
N,Y,0,199.9899902,WCMB,158
N,Y,0,149.9899902,WCMB,451
Y,N,0,29.98999023,UNKW,1583
Y,Y,0,129.9899902,WCMB,527
N,Y,0,59.98999023,WCMB,807
N,Y,0,79.98999023,WCMB,652
Y,Y,0,149.9899902,WCMB,161
N,Y,0,199.9899902,WCMB,460
N,Y,1,79.98999023,WCMB,306
Y,N,0,29.98999023,UNKW,1475
N,Y,0,199.9899902,WCMB,163
Y,Y,0,199.9899902,WCMB,11
N,N,0,29.98999023,WC,1116
N,N,0,29.98999023,UNKW,1599
N,N,0,79.98999023,WC,693
N,Y,0,199.9899902,WCMB,240
N,N,0,79.98999023,WC,314
Y,Y,1,39.98999023,WCMB,452
Y,N,0,29.98999023,WC,765
N,N,0,29.98999023,UNKW,1515
N,Y,1,99.98999023,WCMB,263
N,Y,1,79.98999023,WCMB,387
N,Y,0,29.98999023,UNKW,701
Y,Y,0,149.9899902,WCMB,135
Y,Y,0,199.9899902,WCMB,133
Y,Y,1,9.989997864,UNKW,773
Y,Y,0,149.9899902,WCMB,206
Y,N,0,29.98999023,UNKW,1619
N,Y,0,199.9899902,WCMB,168
Y,Y,0,149.9899902,WCMB,336
Y,Y,0,199.9899902,WCMB,318
N,Y,1,9.989997864,WC,586
N,Y,0,199.9899902,WCMB,430
N,N,0,29.98999023,WCMB,581
Y,N,0,299.9899902,WCMB,77
N,Y,0,149.9899902,WCMB,116
N,Y,0,79.98999023,WCMB,656
N,Y,0,149.9899902,WCMB,72
Y,Y,0,59.98999023,WCMB,504
N,Y,0,199.9899902,WCMB,45
N,N,0,79.98999023,WC,709
N,Y,0,149.9899902,WCMB,10
N,Y,0,99.98999023,WCMB,234
N,Y,0,199.9899902,WCMB,296
Y,Y,0,59.98999023,WCMB,574
Y,Y,0,59.98999023,WCMB,710
N,N,1,9.989997864,UNKW,1053
Y,N,0,29.98999023,UNKW,1672
N,Y,0,79.98999023,WCMB,616
U,Y,0,149.9899902,WCMB,124
Y,Y,0,79.98999023,WCMB,826
N,N,0,99.98999023,WC,754
N,Y,0,29.98999023,WC,285
N,N,0,29.98999023,UNKW,1565
N,N,1,79.98999023,WCMB,151
N,N,1,9.989997864,WCMB,385
Y,Y,0,149.9899902,WCMB,69
Y,N,1,29.98999023,WC,270
N,Y,1,29.98999023,WCMB,57
N,Y,0,59.98999023,WCMB,626
N,Y,0,499.9899902,WCMB,241
N,Y,0,29.98999023,WC,383
Y,Y,1,79.98999023,WCMB,107
Y,N,0,79.98999023,WC,740
N,N,1,29.98999023,WC,638
N,N,0,79.98999023,WC,776
Y,N,0,29.98999023,UNKW,1669
N,Y,0,149.9899902,WCMB,226
N,Y,0,29.98999023,WC,805
N,Y,0,149.9899902,WCMB,517
N,Y,0,149.9899902,WCMB,206
N,Y,0,79.98999023,WCMB,485
Y,Y,0,149.9899902,WCMB,185
U,Y,0,59.98999023,WCMB,734
N,Y,0,149.9899902,WCMB,180
Y,Y,0,149.9899902,WCMB,275
Y,N,0,129.9899902,WCMB,181
N,N,0,29.98999023,WC,769
N,Y,0,149.9899902,WCMB,249
N,N,0,129.9899902,WCMB,143
Y,N,0,29.98999023,UNKW,1497
N,Y,0,149.9899902,WCMB,153
U,Y,0,149.9899902,WCMB,422
Y,Y,0,149.9899902,WCMB,132
N,Y,1,99.98999023,WCMB,88
Y,N,1,9.989997864,UNKW,1044
Y,Y,1,29.98999023,WCMB,418
N,Y,0,79.98999023,WCMB,395
Y,Y,0,59.98999023,WCMB,279
N,Y,1,99.98999023,WCMB,411
Y,Y,0,129.9899902,WCMB,561
N,Y,1,99.98999023,WCMB,206
Y,Y,0,129.9899902,WCMB,94
N,N,1,9.989997864,WC,476
Y,N,0,59.98999023,WC,409
Y,Y,0,149.9899902,WCMB,253
N,N,1,99.98999023,WC,-3
Y,N,0,29.98999023,UNKW,1493
N,Y,0,199.9899902,WCMB,135
Y,Y,1,79.98999023,WCMB,542
Y,N,0,29.98999023,UNKW,1553
N,Y,1,9.989997864,UNKW,831
N,Y,0,29.98999023,UNKW,584
N,N,0,29.98999023,UNKW,1490
N,N,0,29.98999023,UNKW,1333
N,Y,0,129.9899902,WCMB,252
Y,N,0,29.98999023,UNKW,1489
Y,Y,0,129.9899902,WCMB,165
N,Y,0,199.9899902,WCMB,489
N,Y,0,79.98999023,WCMB,503
N,Y,1,99.98999023,WCMB,318
N,Y,0,29.98999023,WC,397
N,N,0,129.9899902,WCMB,315
N,N,0,29.98999023,UNKW,1595
N,N,1,9.989997864,UNKW,672
Y,Y,0,149.9899902,WCMB,77
Y,Y,1,129.9899902,WCMB,299
Y,Y,0,199.9899902,WCMB,506
N,Y,1,29.98999023,WCMB,216
Y,N,0,29.98999023,UNKW,1592
N,N,0,29.98999023,UNKW,1485
Y,T,0,99.98999023,WCMB,78
Y,N,1,9.989997864,UNKW,670
N,N,0,29.98999023,UNKW,1592
Y,Y,0,199.9899902,WCMB,25
N,Y,1,79.98999023,WCMB,198
N,Y,0,59.98999023,WCMB,452
N,Y,0,149.9899902,WCMB,329
U,N,1,9.989997864,UNKW,634
N,N,1,9.989997864,UNKW,475
N,N,0,29.98999023,UNKW,1483
N,N,0,29.98999023,UNKW,1590
Y,N,0,29.98999023,UNKW,669
Y,Y,0,199.9899902,WCMB,166
N,Y,0,199.9899902,WCMB,99
N,Y,0,79.98999023,WCMB,515
Y,T,0,199.9899902,WCMB,86
